name,address,latitude,longitude,rating,rating_count,place_id
Science Café Het7De,"Heidelberglaan 7, Utrecht",52.0844866,5.1740916,4.3,34,ChIJddM5SJtoxkcRKc_JvW3tTFQ
University College Student Association,"Maupertuusplein 1, Utrecht",52.082317,5.148559899999999,4.0,4,ChIJW200oahoxkcRVXpn7lGiAVs
Sportcafé De Heksenketel,"Herculesplein 343, Utrecht",52.077941,5.144833999999999,4.0,88,ChIJHcFikwJmxkcRqNynvhfCzmI
Café Jan Primus,"Jan van Scorelstraat 27-31, Utrecht",52.0863757,5.1445523,4.3,258,ChIJjz4q5a5oxkcRTaMWS-Y3-1Q
Iris van Peppen,"Weg naar Rhijnauwen 3, Utrecht",52.0826434,5.157794600000001,5.0,1,ChIJvVlCCqFoxkcReYqURJL7PBk
Studentencafé Cambridgebar,"Cambridgelaan 901, Utrecht",52.0828212,5.1723664,4.4,137,ChIJF9sbmZxoxkcRCRSPc2Bnc7w
Huize Schelp,"Schelpstraat 14, Utrecht",52.0877151,5.137136100000001,5.0,3,ChIJgQJl6nNpxkcRTEMf0JgYhWE
De Kweekvijver,"Burgemeester Ter Pelkwijklaan 174, Utrecht",52.0802604,5.136205599999998,4.8,55,ChIJgS0CNMtpxkcRBTNTfWYCjp0
Cerveceria Boulevard,"Burgemeester Reigerstraat 45, Utrecht",52.0894376,5.1353749,4.6,779,ChIJPXAbslJvxkcRUFy4pAjHCA8
Science Café HideOut,"Heidelberglaan 15, Utrecht",52.0844841,5.1756036,4.4,104,ChIJTxdyqCNpxkcRbmCz9IqRpbo
Cantina Atletiekbaan Overvecht,"Franciscusdreef 4, Utrecht",52.1216991,5.0859828,4.3,23,ChIJe1fvbrJvxkcRcL_ynSjHeuU
"Bar Kaap | Koffie, Tosti's, Borrel & Bios","Kaap Hoorndreef 66, Utrecht",52.114456,5.105543000000001,4.6,21,ChIJKcWSwH9vxkcRoMKM8oNokHk
The BKRY,"Roelantdreef, Utrecht",52.1140818,5.1110525,4.7,84,ChIJP3Mad7ZvxkcRP6GxtKhZP7k
Brouwerij de Dichter,"Laan van Chartroise 213, Utrecht",52.10781000000001,5.100281900000001,5.0,4,ChIJH1ou5y9vxkcRFJ9yLOIMSqk
De Bee's Hive,"Sweder van Zuylenweg 56, Utrecht",52.1092451,5.089157000000001,5.0,86,ChIJo033LEBvxkcRMcMf5S1z2_U
